CENTRE,8.5 Herb 8,1L Herb 8,Straw 9,Straw 10,Straw 11,Straw 12,Straw 13,Straw 14,Straw 15,Straw 16,Straw 17,Straw 18,Straw 19,Straw 20,Straw 21,Straw 22,8.5cm Straw 9,8.5cm Straw 10,8.5cm Straw 11,8.5cm Straw 12,8.5cm Straw 13,8.5cm Straw 14,8.5cm Straw 15,8.5cm Straw 16,8.5cm Straw 17,8.5cm Straw 18,8.5cm Straw 19,8.5cm Straw 20,8.5cm Straw 21,8.5cm Straw 22,SPEA 9,SPEA 10,SPEA 11,SPEA 12,SPEA 13,SPEA 14,SPEA 15,SPEA 16,SPEA 17,SPEA 18,SPEA 19,8.5cm S/Peas 10,8.5cm S/Peas 11,8.5cm S/Peas 12,8.5cm S/Peas 13,8.5cm S/Peas 14,8.5cm S/Peas 15,8.5cm S/Peas 16,8.5cm S/Peas 17,8.5cm S/Peas 18,8.5cm S/Peas 19,Grafted 14,Grafted 16,Grafted 18,Grafted Chilli 14,Grafted Chilli 16,Grafted Chilli 18,Dyna Chilli 15,Dyna Chilli 17,P/Bean 15,P/Bean 17,P/Bean 19,Sweet Potato 17,Heritage Tom 18,Heritage Tom 20,1L Veg 20,1L Veg 22,Autumn Strip,Wildflower Week 12
Homeleigh Bude Garden Centre,,,30,,,,15,15,,,,,,,,,16,,,,16,16,,,,,,,,,15,,,,15,9,,,,,,,,,,16,,,,,,,,,,,,,16,,,,8,16,,,,,
Homeleigh Dutson Garden Centre,,,30,,,,,,,,30,,,,,,30,,30,,,,30,,,,,,,,30,,,,30,,,,30,,,,16,,,,,,,,,,20,,,,,16,,,,,,,,,,,
Homeleigh GC Crediton,,,15,,,,15,,,,,,,,,,16,,,,16,,,,,,,,,,,15,,,15,,,,,,,,,,,,16,,,,,,,,,,,,16,,,,,,,,,,
Iron Acton,,,15,,15,,15,,15,,15,,,,,,,30,,,,,,,,,,,,,15,,15,,15,,15,,15,,,30,,,,,,,,,,20,,20,6,,3,16,16,16,,16,8,16,,,,,
J & L Garden Centre,,,,,15,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,,,,,,,,,,,20,,,3,,,,,,,,,,,,,,
Jacksdale Garden Centre,,,,,,30,,30,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,,,,,,,,,,,,,,,,,,,,16,16,,,12,16,,,,,
Kings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66,,,,,,
Kings Garden and Leisure Exmouth,,,15,,15,,15,,15,,15,,,,,,,,,,,,16,,16,,,,,,15,,15,,15,,15,,15,,,,,,,,,,,,,20,20,,3,3,,16,,,,,8,16,,20,20,,
Kings Garden and Leisure Sidmouth,,,15,,15,,15,,15,15,,,,,,,16,,,,,,16,,,,,,,,15,,,,15,,15,,,,,,,,,,,,,,,,20,,,,,16,,,,,,,,,,,
Klondyke,,,296,60,60,60,60,60,60,60,60,60,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,10,10,10,60,10,60,10,10,400,,,,,,204,,,208,,76,,,330,,,
